"STATION","NAME","DATE","AWND","PGTM","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-29","5.14",,"66","77","58",,"  300","  170","13.0","18.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-30","6.71",,"67","71","61",,"  210","  180","13.0","19.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-05-01","6.71",,"66","73","62",,"  200","  190","14.1","21.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-05-02","5.14",,"65","72","61",,"  190","  200","12.1","17.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-05-03","6.26",,"65","72","62",,"  310",,"10.1",
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-05-04","6.04",,"65","71","60",,"  290","  280","17.0","23.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-05-05","10.51",,"63","70","57",,"  290","  300","25.1","34.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-05-06","6.04"," 1357","64","76","54",,"  290","  300","16.1","21.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-05-07",,,"65",,,,,,,
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-05-08",,,"63",,,,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-01",,,"44","48","39",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-02",,,"46","54","40",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-03",,,"39","45","35",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-04",,,"39","53","34",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-05",,,"45","50","42",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-06",,,"44","52","38",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-07",,,"32","38","29",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-08",,,"35","41","29",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-09",,,"46","57","40",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-10",,,"41","52","37",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-11",,,"37","42","31",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-12",,,"44","53","39",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-13",,,"48","59","42",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-14",,,"47","54","42",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-15",,,"52","56","45",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-16",,,"55","63","48",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-17",,,"47","52","43",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-18",,,"50","58","40",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-19",,,"51","60","45",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-20",,,"44","46","41",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-21",,,"44","46","43",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-22",,,"45","48","42",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-23",,,"45","50","42",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-24",,,"45","49","42",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-25",,,"45","51","42",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-26",,,"49","54","43",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-27",,,"53","60","46",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-28",,,"58","64","53",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-29",,,"60","68","55",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-30",,,"59","67","53",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-01-31",,,"49","57","39",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-02-01",,,"40","42","37",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-02-02",,,"39","48","35",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-02-03",,,"38","44","35",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-02-04",,,"39","42","35",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-02-05",,,"42","44","39",,,,,
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","2024-02-06",,,"39","40","37",,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-01",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-02",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-03",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-04",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-05",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-06",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-07",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-08",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-09",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-10",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-11",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-12",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-13",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-14",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-15",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-16",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-17",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-18",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-19",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-20",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-21",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-22",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-23",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-24",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-25",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-26",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-27",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-28",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-29",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-30",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-01-31",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-01",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-02",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-03",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-04",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-05",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-06",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-07",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-08",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-09",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-10",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-11",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-12",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-13",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-14",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-15",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-16",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-17",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-18",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-19",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-20",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-21",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-22",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-23",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-24",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-25",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-26",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-27",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-28",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-02-29",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-03-01",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-03-02",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-03-03",,,,,,,,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","2024-03-04",,,,,,,,,,
